#OTU ID	d16s1r1	d16s2r1	d16s2r2	d17s1r1	d17s2r1	d17s2r2	d18s1r1	d18s2r1	d18s2r2	d19s1r1	d19s2r1	d19s2r2	d20s1r1	d20s2r1	d20s2r2	d21s1r1	d21s2r1	d21s2r2	d22s1r1	d22s2r1	d22s2r2	d23s1r1	d23s2r1	d23s2r2	d24s1r1	d24s2r1	d24s2r2	d25s1r1	d25s2r1	d25s2r2	d26s1r1	d26s2r1	d26s2r2	d28s1r1	d28s2r1	d28s2r2	d29s1r1	d29s2r1	d29s2r2	d30s10r1	d30s11r1	d30s12r1	d30s13r1	d30s14r1	d30s1r1	d30s2r10	d30s2r11	d30s2r12	d30s2r1	d30s2r2	d30s2r3	d30s2r4	d30s2r5	d30s2r6	d30s2r7	d30s2r8	d30s2r9	d30s3r1	d30s4r1	d30s5r1	d30s6r1	d30s7r1	d30s8r1	d30s9r1	d31s1r1	d31s2r1	d31s2r2	d32s1r1	d32s2r1	d32s2r2	d33s1r1	d33s2r1	d33s2r2	d34as1r1	d34as2r1	d34as2r2	d34bs1r1	d34bs2r1	d34bs2r2	d35s1r1	d35s2r1	d35s2r2	d42s1r1	d42s2r1	d42s2r2	d63s1r1	d63s2r1	d63s2r2	spike1	spike2	spike3	spike4	STD	STDspike	taxonomy
91	0	0	1	0	0	0	25	14	5	21	33	44	8	19	19	11	23	29	8	8	8	2	10	1	0	0	0	6	8	3	0	0	0	0	16	10	3	9	17	12	4	2	17	1	0	0	3	1	2	2	2	2	0	4	5	2	0	6	14	2	8	1	2	6	57	59	39	9	18	6	14	14	27	4	0	1	0	0	0	9	4	0	39	63	43	6	23	38	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 98%; ""Bacteroidia""; 71%; ""Bacteroidales""; 71%; ""Rikenellaceae""; 40%; Alistipes; 23%"
92	0	0	0	1	1	0	4	9	4	36	32	42	3	7	5	1	8	8	21	15	12	9	8	9	4	8	11	11	9	9	4	2	1	8	14	18	10	8	12	8	19	16	13	5	0	13	13	3	12	11	10	11	17	16	18	12	8	16	17	0	10	13	15	20	8	11	17	16	22	14	6	16	12	5	1	0	0	0	0	4	5	9	12	10	18	11	13	11	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 98%; Clostridiales; 97%; Defluviitaleaceae; 43%; Defluviitalea; 43%
93	6	0	0	0	0	0	4	5	10	24	25	7	0	0	0	6	1	5	16	4	5	3	2	2	0	0	0	0	0	0	0	0	1	8	7	2	21	7	11	7	6	7	5	31	3	5	3	4	11	11	38	0	1	1	5	5	0	4	5	1	2	7	8	12	6	20	12	91	116	113	122	229	246	2	1	2	3	0	0	0	0	0	24	19	21	1	1	2	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 96%; Lachnospiracea_incertae_sedis; 81%
94	10	2	1	21	1	0	30	21	18	91	94	80	1	1	1	69	68	60	105	97	92	97	95	101	0	1	1	10	3	3	0	0	0	2	4	14	1	0	2	4	0	2	44	4	1	1	0	1	0	0	0	1	1	0	1	1	0	12	6	0	19	0	3	4	27	48	20	5	0	1	4	18	29	26	0	0	0	0	0	0	1	1	1	6	4	1	7	2	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 99%; Flavonifractor; 77%
95	5	1	0	15	9	8	20	10	16	9	20	11	17	15	17	4	6	4	11	30	23	19	10	16	22	25	28	34	18	26	15	8	18	24	42	52	45	49	68	36	30	26	41	29	18	34	31	31	24	26	35	33	31	44	35	47	41	39	38	19	52	46	47	53	32	47	43	27	18	24	28	30	40	47	2	7	11	16	9	39	21	27	46	38	40	38	50	58	0	0	0	0	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 95%; Clostridia; 93%; Clostridiales; 93%; Clostridiales_Incertae Sedis XIII; 46%; Anaerovorax; 40%
96	1	1	0	4	0	3	9	3	3	11	5	9	5	3	5	11	3	6	16	28	28	6	11	11	7	8	11	8	6	9	2	2	3	0	11	9	8	8	9	14	11	15	21	7	10	9	14	12	9	12	11	8	23	18	11	9	9	17	12	4	11	9	13	18	10	14	9	10	7	9	11	5	8	18	4	1	2	0	2	2	8	4	5	8	12	13	10	2	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Asaccharobacter; 20%"
97	3	0	0	7	0	0	11	6	19	66	55	63	2	9	5	12	24	23	28	28	20	36	22	31	3	14	9	68	12	12	2	0	1	6	8	7	1	0	6	7	2	0	10	4	0	4	2	2	2	1	1	2	0	0	1	0	3	1	4	0	3	2	0	0	46	36	30	16	20	24	10	18	31	26	1	1	0	0	0	0	1	2	2	16	8	7	7	6	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 98%; Dorea; 46%
98	0	0	0	0	1	0	2	1	5	95	88	112	1	4	1	4	9	6	50	52	64	1	11	6	0	0	0	0	0	0	0	0	0	0	3	1	0	7	16	1	0	0	14	0	0	5	5	3	0	0	0	0	1	2	2	2	1	20	7	0	15	1	0	19	1	0	3	2	0	1	22	59	52	44	0	0	0	0	0	0	0	0	27	14	6	1	2	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 99%; Clostridiales; 99%; Ruminococcaceae; 96%; Sporobacter; 43%
99	1	0	0	5	1	5	3	1	10	12	7	16	2	8	10	9	12	11	73	100	78	2	2	2	0	0	0	1	0	1	1	0	0	2	8	13	2	10	9	7	0	4	34	0	0	8	3	14	1	1	3	4	1	3	0	3	4	18	5	0	27	2	6	6	0	0	0	0	0	1	2	2	4	2	0	0	0	0	0	2	1	2	51	15	10	24	40	40	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 85%; Sporobacter; 41%
100	5	0	1	6	7	7	31	14	14	96	84	137	6	31	34	19	34	25	11	14	25	42	10	31	2	8	9	20	11	3	1	0	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1	3	0	1	0	14	14	10	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 98%; Clostridium XlVb; 98%
101	37	168	209	1	2	3	8	107	109	1	0	1	18	2	4	10	5	5	3	0	0	16	3	5	0	1	4	4	1	1	2	4	12	10	0	1	2	0	1	1	2	2	3	4	1	3	4	1	0	2	2	0	3	6	0	2	0	1	2	2	1	1	5	2	1	1	0	2	2	3	1	0	0	1	3	2	2	1	2	3	14	8	0	0	1	3	1	1	1	3	1	1	1	2	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Gammaproteobacteria; 100%; Pasteurellales; 100%; Pasteurellaceae; 100%; Haemophilus; 69%"
102	12	2	1	1	0	0	12	21	20	120	60	71	1	8	0	70	23	50	15	19	13	27	159	84	0	1	2	10	6	3	0	0	0	4	2	0	5	5	2	3	0	2	3	3	0	0	0	0	1	1	1	0	0	0	1	0	1	3	0	0	4	1	0	0	0	4	1	2	0	4	2	2	4	1	1	0	0	0	0	0	0	0	1	4	5	15	152	133	2	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 65%
103	1	0	0	0	1	0	5	11	7	15	10	8	2	1	1	178	54	79	71	124	102	3	15	13	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	1	4	6	10	24	9	14	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 57%
104	3	0	0	11	5	5	8	7	8	8	13	14	6	10	9	4	5	7	8	12	7	3	6	2	2	6	2	5	13	4	6	0	0	4	15	5	9	7	9	12	6	6	5	3	4	10	11	10	2	6	3	6	7	11	5	11	12	8	9	13	16	5	9	7	12	11	9	9	12	11	8	12	16	18	0	0	2	0	1	11	5	2	4	9	7	12	8	8	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 80%
105	4	0	2	4	0	0	11	7	12	33	19	26	0	2	0	27	14	18	21	35	29	28	37	33	0	0	0	4	6	1	0	0	1	6	12	11	1	8	11	1	4	2	12	0	1	2	2	1	0	0	0	0	0	0	1	0	0	4	1	0	4	1	0	3	8	34	18	18	13	15	12	28	31	13	0	0	0	0	0	0	0	0	7	13	11	4	7	4	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 99%; Clostridiales; 99%; Ruminococcaceae; 99%; Oscillibacter; 99%
106	15	1	2	6	4	0	26	16	17	36	34	29	4	3	3	78	40	39	35	35	18	30	37	31	6	2	2	19	5	4	0	0	0	16	5	3	0	1	3	3	0	0	6	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	6	4	3	6	6	7	3	14	2	0	0	0	0	0	0	0	0	8	12	17	18	16	17	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 99%; Oscillibacter; 98%
107	6	7	6	21	16	15	17	16	15	16	10	18	16	19	19	6	8	10	26	20	22	7	16	7	23	20	17	10	19	14	30	45	30	10	17	12	10	16	11	7	10	12	7	12	21	10	15	5	6	5	10	7	12	7	8	5	9	12	10	24	7	8	16	9	21	16	24	13	6	10	25	18	13	27	17	24	15	16	12	22	17	13	8	17	16	19	15	11	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Actinobacteridae; 100%; Actinomycetales; 100%; Actinomycineae; 100%; Actinomycetaceae; 100%; Actinomyces; 100%"
108	6	2	0	0	1	0	32	14	15	29	41	30	4	13	11	71	61	50	44	44	27	37	63	51	1	0	0	0	3	2	0	0	0	3	16	19	4	7	12	12	0	1	42	0	0	3	5	3	1	0	0	0	0	1	3	1	0	13	7	0	31	0	0	13	14	9	6	4	3	1	3	13	26	7	0	0	0	0	0	10	3	2	57	91	62	20	6	16	0	0	0	1	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Rikenellaceae""; 100%; Alistipes; 100%"
109	3	0	0	3	3	1	11	5	8	19	19	18	7	7	4	14	14	19	22	15	20	23	21	17	2	4	3	6	8	4	0	0	1	11	10	8	5	8	14	14	6	2	11	8	9	5	4	2	0	3	1	1	1	1	3	6	5	11	7	6	14	10	5	3	25	41	30	20	18	22	7	7	23	7	3	1	6	1	1	2	4	2	8	23	13	5	10	16	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Flavonifractor; 100%
110	1	1	0	0	0	0	13	3	7	111	95	73	7	6	10	37	47	47	32	30	15	28	41	55	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	0	0	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	1	0	4	0	0	1	5	3	3	1	0	2	1	4	7	0	0	0	0	0	0	1	0	0	9	7	6	2	5	3	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
111	0	0	0	0	0	0	16	2	3	6	12	8	2	3	8	13	21	24	8	6	3	30	41	36	0	0	1	1	4	2	0	0	0	3	3	0	1	3	11	6	4	0	10	2	1	2	0	1	0	0	0	0	2	0	0	1	3	7	6	3	3	0	1	6	10	11	5	7	4	1	3	8	17	3	0	0	0	0	0	3	0	0	20	38	28	5	2	2	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Porphyromonadaceae""; 100%; Odoribacter; 100%"
112	69	34	27	70	74	42	44	51	58	28	54	36	0	5	3	119	42	52	4	5	3	51	53	37	4	12	9	46	8	8	1	2	0	36	3	0	2	0	1	4	0	0	3	6	3	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	2	2	0	1	5	19	4	1	1	1	2	1	5	2	2	1	2	0	3	1	0	1	0	2	0	0	0	4	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 93%; Butyrivibrio; 24%
113	20	4	5	13	13	15	13	15	19	34	29	40	32	26	29	7	22	6	20	22	25	20	20	17	33	24	18	22	30	16	47	46	68	40	36	44	45	62	42	46	37	42	50	54	52	37	25	27	33	28	39	35	32	46	37	32	25	50	55	69	41	39	41	38	51	59	68	127	87	97	75	96	77	76	16	23	23	41	42	43	54	52	22	32	19	24	31	33	2	1	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 42%
114	4	1	0	2	1	0	15	15	20	18	14	25	0	3	1	24	28	21	24	24	21	24	9	15	0	0	0	1	0	1	0	0	0	4	5	1	0	1	3	8	2	0	35	2	1	0	1	2	0	0	0	0	1	0	0	0	1	11	6	0	7	3	1	0	7	16	8	20	12	14	8	25	41	11	0	2	0	0	0	1	0	4	9	7	12	2	6	3	0	0	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Flavonifractor; 67%
115	41	8	10	18	19	12	26	34	59	34	34	39	7	8	6	18	12	24	11	2	6	35	44	29	4	4	12	26	2	8	0	2	0	6	0	0	5	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	11	4	0	3	0	0	0	0	0	0	3	2	0	1	2	0	0	1	1	2	0	0	0	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 96%; Clostridium XlVa; 27%
116	227	146	118	24	79	42	33	72	71	2	1	1	20	7	15	15	6	7	0	0	0	5	3	10	10	9	9	22	9	10	5	4	6	15	1	5	11	2	5	3	4	6	12	6	5	2	6	5	2	3	1	2	4	1	4	11	1	7	5	4	6	5	9	5	1	3	1	5	7	13	16	8	2	4	15	5	24	9	10	4	69	26	7	3	4	1	6	0	2	1	0	0	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Negativicutes; 100%; Selenomonadales; 100%; Veillonellaceae; 100%; Veillonella; 100%
117	21	24	23	13	21	17	16	23	30	8	10	9	41	49	51	10	10	12	26	34	31	12	18	35	21	14	24	17	25	31	13	21	27	18	49	65	17	5	3	20	19	25	18	69	70	21	18	16	19	21	15	20	21	28	11	12	10	15	15	45	18	38	23	18	27	21	31	14	10	11	41	19	30	13	19	17	25	42	43	15	12	9	3	5	4	1	7	5	3	4	3	2	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Streptococcaceae; 100%; Streptococcus; 100%
118	2	2	2	1	2	1	4	6	1	11	8	10	3	0	0	14	9	2	6	3	2	1	2	1	2	1	2	5	6	5	7	8	2	16	8	3	6	14	11	9	9	8	2	9	2	12	8	13	6	9	5	8	12	5	8	5	4	13	8	0	7	6	11	19	1	0	1	12	8	12	21	48	24	0	8	14	11	15	9	0	0	2	9	3	10	6	4	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 89%; Ruminococcus2; 31%
119	3	0	0	1	1	0	17	3	3	1	11	2	1	4	7	12	10	8	4	18	6	12	20	9	0	0	0	3	0	2	1	0	0	0	2	1	0	7	10	6	2	7	21	1	0	4	2	1	1	0	0	0	1	0	3	1	3	12	4	0	11	0	1	6	5	12	2	5	6	0	4	10	9	0	0	0	0	0	1	0	0	0	4	15	11	7	18	7	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Porphyromonadaceae""; 100%; Barnesiella; 100%"
120	0	0	0	2	0	2	3	4	0	12	10	19	0	2	2	14	5	13	9	21	13	21	17	10	3	2	0	8	2	6	1	0	0	4	5	1	3	7	9	2	0	0	12	0	0	3	1	2	1	0	0	0	1	0	0	0	0	11	5	0	2	0	0	8	0	1	1	16	8	13	7	12	8	1	0	0	0	0	0	0	3	0	0	1	0	8	18	25	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 95%; Clostridia; 93%; Clostridiales; 93%; Lachnospiraceae; 50%; Clostridium XlVb; 50%
121	0	1	0	2	0	0	4	6	5	33	36	31	0	0	0	32	16	18	10	24	20	47	66	69	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Deltaproteobacteria; 100%; Desulfovibrionales; 100%; Desulfovibrionaceae; 100%; Bilophila; 100%"
122	3	3	1	0	2	2	0	55	66	2	10	6	11	30	21	0	0	0	0	0	0	3	0	0	7	5	4	1	0	0	0	0	0	0	0	0	5	6	3	3	3	10	0	26	33	1	0	1	4	6	2	4	3	6	1	1	0	0	0	19	0	7	3	1	1	0	2	0	0	0	34	8	7	27	0	3	0	0	0	0	0	2	0	0	0	7	2	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Peptostreptococcaceae; 100%; Terrisporobacter; 100%
123	1	0	0	3	4	1	10	12	1	4	3	8	3	1	0	4	0	1	4	6	1	3	6	9	7	14	0	3	7	4	11	2	5	3	3	3	4	5	0	4	7	4	2	2	1	5	2	9	4	2	3	2	6	4	2	2	6	7	4	1	3	6	1	10	8	10	3	12	11	4	6	9	5	9	8	3	1	1	1	0	0	1	4	2	0	5	0	3	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Clostridium IV; 82%
124	0	0	0	0	0	0	0	0	1	2	2	3	0	2	1	0	6	5	6	10	2	0	1	1	0	0	0	0	0	2	0	0	0	1	7	7	2	5	15	10	9	5	9	0	0	9	3	10	1	4	8	2	0	5	6	6	5	14	5	0	15	7	6	10	1	2	2	4	2	5	11	15	15	13	0	0	0	0	0	1	0	2	13	9	12	7	4	7	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 93%; Clostridia; 75%; Clostridiales; 70%; Eubacteriaceae; 35%; Alkalibacter; 33%
125	1	0	0	1	0	0	10	0	3	4	4	4	0	3	4	11	24	6	5	13	10	15	13	15	1	3	0	1	0	2	0	0	0	2	7	5	5	6	3	6	1	2	5	3	0	2	1	2	3	2	1	4	0	0	2	1	2	2	6	0	4	1	0	4	8	6	4	0	0	0	2	4	10	2	0	0	0	0	0	9	2	3	13	27	18	3	10	8	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Rikenellaceae""; 100%; Alistipes; 100%"
126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	5	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	3	9	14	56	55	3	0	0	2	0	0	0	0	1	26	27	44	15	10	9	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Clostridium IV; 99%
127	4	0	2	2	1	1	0	1	1	2	2	3	3	2	2	0	5	2	1	4	2	6	4	8	6	3	4	11	13	8	6	0	1	2	1	2	7	11	8	1	9	6	9	1	8	2	3	2	8	0	6	6	4	4	3	6	5	5	8	7	9	6	4	4	1	1	2	9	7	7	4	2	8	1	1	0	0	2	2	2	4	1	3	2	3	5	7	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 97%; Clostridiales; 97%; Lachnospiraceae; 96%; Lachnospiracea_incertae_sedis; 57%
128	0	0	0	0	0	1	2	2	4	3	2	5	3	1	5	1	5	2	3	7	8	0	1	1	5	5	2	7	1	10	1	0	0	2	0	5	0	8	3	4	12	5	5	6	7	5	6	4	5	1	13	2	7	9	8	7	1	1	2	0	5	4	8	3	5	1	2	3	3	3	4	5	5	11	0	1	0	0	0	3	0	6	7	2	4	0	1	5	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 91%; Negativicutes; 35%; Selenomonadales; 35%; Veillonellaceae; 35%; Anaeroglobus; 28%
129	0	0	0	0	0	0	7	0	3	9	6	6	1	1	2	6	4	5	13	15	10	0	2	2	0	0	0	0	0	0	1	0	0	0	10	5	0	15	6	4	0	0	23	0	0	8	6	4	1	2	0	1	2	4	3	5	3	18	6	0	6	1	0	15	3	1	1	5	7	10	2	9	4	11	0	0	0	0	0	0	0	0	5	5	12	2	3	10	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 99%; Hydrogenoanaerobacterium; 37%
130	61	9	9	11	7	8	104	59	56	173	146	132	38	30	22	69	75	57	25	29	25	126	113	125	0	0	1	22	7	11	1	4	0	19	11	19	24	20	38	34	14	14	52	18	1	11	6	10	15	2	7	11	5	6	4	8	6	37	14	7	27	4	7	26	117	116	71	41	52	58	16	48	90	9	1	0	6	0	2	15	19	18	50	65	80	22	21	35	2	0	0	1	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
131	4	0	0	7	2	2	16	8	7	8	15	9	0	4	4	19	11	3	12	17	12	9	7	9	3	0	1	2	2	1	1	0	0	8	2	1	0	0	0	3	0	1	7	1	2	0	0	2	2	0	0	0	1	1	0	0	0	7	2	0	3	3	2	0	4	16	3	3	2	7	3	4	13	7	0	0	2	0	1	0	3	2	1	5	5	1	0	1	0	0	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 99%; Clostridiales; 99%; Ruminococcaceae; 95%; Flavonifractor; 40%
132	0	0	0	1	0	0	0	1	2	1	1	2	1	1	1	1	1	0	4	2	3	3	3	0	3	2	3	2	1	2	5	1	2	4	4	4	4	2	4	7	3	5	6	8	6	5	2	1	2	8	11	3	2	5	1	6	4	5	1	1	4	0	5	0	5	6	7	17	15	6	6	8	7	10	2	1	1	2	3	6	11	7	1	0	0	3	2	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 99%; Clostridiales; 99%; Ruminococcaceae; 97%; Ethanoligenens; 41%
133	0	0	0	3	0	2	23	11	17	12	18	30	2	4	4	6	12	19	3	5	8	1	3	3	4	4	4	0	2	2	3	1	0	1	0	4	1	3	4	2	6	2	2	0	1	1	4	2	3	2	1	1	1	0	2	2	4	3	3	0	0	2	0	2	5	3	5	3	3	3	5	2	4	2	0	0	0	0	0	1	0	0	3	0	2	4	3	4	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 87%; Anaerosporobacter; 28%
134	1	1	0	1	0	2	5	7	3	7	3	7	3	7	3	5	2	3	7	6	1	5	4	4	1	1	1	7	1	2	0	0	0	4	1	4	3	3	1	1	4	2	3	0	0	1	7	2	0	2	2	6	4	1	9	3	2	7	2	1	4	0	4	0	5	7	4	5	5	5	2	3	4	3	0	0	1	0	0	10	2	3	2	2	3	3	8	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Holdemania; 100%
135	3	0	5	0	0	1	0	0	0	0	0	2	26	4	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	11	29	11	0	13	15	4	3	2	16	11	16	24	12	15	3	6	0	2	5	4	0	11	13	6	1	4	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Lactobacillaceae; 100%; Pediococcus; 100%
136	13	6	2	3	8	8	13	22	20	26	18	20	0	4	12	5	4	10	3	0	2	27	24	20	7	12	2	22	5	7	0	2	0	5	1	1	2	0	2	1	0	0	0	4	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	9	13	17	1	2	3	0	0	3	0	0	0	2	0	0	2	1	1	2	3	4	0	1	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Anaerosporobacter; 25%
137	0	0	0	0	0	0	2	2	2	3	4	2	4	6	4	1	6	6	4	1	6	3	7	4	4	1	3	2	4	5	1	0	2	0	8	2	0	5	3	4	0	1	5	0	0	0	3	2	2	1	1	1	0	2	3	2	0	7	1	0	7	3	0	5	6	2	6	3	3	8	4	7	6	2	0	1	0	0	0	2	1	1	6	1	7	7	5	5	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Faecalibacterium; 74%
138	0	0	0	0	0	0	3	1	2	15	12	23	0	4	3	3	4	1	3	8	6	0	3	0	0	0	0	0	0	0	0	1	0	0	3	1	1	1	5	0	2	0	2	2	0	0	2	2	0	0	1	2	0	0	2	3	4	4	2	0	0	1	0	6	1	1	1	2	2	1	2	11	12	2	1	0	0	0	0	0	0	0	12	15	13	9	1	6	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Deltaproteobacteria; 100%; Desulfovibrionales; 100%; Desulfovibrionaceae; 99%; Desulfovibrio; 99%"
139	1	0	0	3	2	3	2	3	2	5	0	5	2	6	3	1	3	2	6	4	2	2	1	3	4	8	6	8	4	2	0	3	3	5	10	9	1	2	1	1	0	4	3	0	1	1	2	1	3	3	2	1	1	2	0	4	1	5	0	0	3	5	9	1	8	4	0	3	2	6	3	4	5	2	0	0	0	2	1	0	2	2	1	2	3	8	2	3	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Anaerosporobacter; 56%
